106
S,0,1,0.528,0.563,2.640,0.563,999999,0.680,0.680,0.0239,0.680,0.0239,0.0239,1,-29		! Row 9, Col. 6
S,0,1,0.528,0.563,3.168,0.563,999999,0.680,0.680,0.0223,0.680,0.0223,0.0223,1,-54		! Row 9, Col. 7
S,0,1,0.528,0.563,3.696,0.563,999999,0.680,0.680,0.0256,0.680,0.0256,0.0256,1,-11		! Row 9, Col. 8
S,0,1,0.528,0.563,4.224,0.563,999999,0.680,0.680,0.0177,0.680,0.0177,0.0177,1,-54		! Row 9, Col. 9
S,0,1,0.528,0.563,4.752,0.563,999999,0.680,0.680,0.0093,0.680,0.0093,0.0093,1,-22		! Row 9, Col. 10
S,0,1,0.528,0.563,0.000,0.000,999999,0.680,0.680,0.0099,0.680,0.0099,0.0099,1,-3		! Row 10, Col. 1
S,0,1,0.528,0.563,0.528,0.000,999999,0.680,0.680,0.0158,0.680,0.0158,0.0158,1,-11		! Row 10, Col. 2
S,0,1,0.528,0.563,1.056,0.000,999999,0.680,0.680,0.0164,0.680,0.0164,0.0164,1,-40		! Row 10, Col. 3
S,0,1,0.528,0.563,1.584,0.000,999999,0.680,0.680,0.0115,0.680,0.0115,0.0115,1,-41		! Row 10, Col. 4
S,0,1,0.528,0.563,2.112,0.000,999999,0.680,0.680,0.0083,0.680,0.0083,0.0083,1,-20		! Row 10, Col. 5
S,0,1,0.528,0.563,2.640,0.000,999999,0.680,0.680,0.0083,0.680,0.0083,0.0083,1,-14		! Row 10, Col. 6
S,0,1,0.528,0.563,3.168,0.000,999999,0.680,0.680,0.0132,0.680,0.0132,0.0132,1,-52		! Row 10, Col. 7
S,0,1,0.528,0.563,3.696,0.000,999999,0.680,0.680,0.0112,0.680,0.0112,0.0112,1,-52		! Row 10, Col. 8
S,0,1,0.528,0.563,4.224,0.000,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-48		! Row 10, Col. 9
S,0,1,0.528,0.563,4.752,0.000,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-9		! Row 10, Col. 10
S,1,1,0.323,0.728,3.012,3.600,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-999		! U7
S,1,1,1.380,1.380,3.597,3.427,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-388		! U8
S,1,1,0.157,0.344,2.680,1.962,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-999		! U12
S,1,1,0.344,0.157,3.178,3.198,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-999		! U13
S,1,1,0.157,0.344,2.684,1.397,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-999		! U19
S,1,1,1.380,1.380,0.943,0.351,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,-456		! U18
R,1,1,0.650,0.920,2.600,2.575,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,0		! Revised/Extended Q1
R,1,1,0.265,0.250,2.844,2.895,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,5		! Q1
R,1,1,6.265,6.250,0.000,0.000,999999,0.680,0.680,0.0076,0.680,0.0076,0.0076,1,5		! test of remesh of all pwb

